Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,46.09799,46.77032,47.45809,48.60732,49.8842,51.16108,52.31031,52.99808,53.67041
1,50.83131,51.52262,52.2298,53.41147,54.7244,56.03733,57.219,57.92618,58.61749
2,54.42396,55.13442,55.8612,57.0756,58.4249,59.7742,60.9886,61.71538,62.42584
3,57.34047,58.06652,58.80924,60.0503,61.4292,62.8081,64.04916,64.79188,65.51793
4,59.72447,60.46344,61.21939,62.48254,63.886,65.28946,66.55261,67.30856,68.04753
5,61.67956,62.42946,63.19658,64.4784,65.9026,67.3268,68.60862,69.37574,70.12564
6,63.34303,64.10314,64.88071,66.18,67.6236,69.0672,70.36649,71.14406,71.90417
7,64.82235,65.5934,66.38216,67.70013,69.1645,70.62887,71.94684,72.7356,73.50665
8,66.18835,66.97163,67.77291,69.1118,70.5994,72.087,73.42589,74.22717,75.01045
9,67.48217,68.27886,69.09384,70.45564,71.9687,73.48176,74.84356,75.65854,76.45523
10,68.71138,69.52286,70.35297,71.74005,73.2812,74.82235,76.20943,77.03954,77.85102
11,69.88013,70.70738,71.55363,72.96769,74.5388,76.10991,77.52397,78.37022,79.19748
12,70.99632,71.84023,72.70353,74.14605,75.7488,77.35155,78.79407,79.65737,80.50128
