Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,2.459312,2.603994,2.757621,3.027282,3.3464,3.686659,4.011499,4.214527,4.419354
1,3.39089,3.566165,3.752603,4.080792,4.4709,4.889123,5.290726,5.542933,5.798331
2,4.31889,4.522344,4.738362,5.117754,5.5675,6.048448,6.509323,6.798348,7.090758
3,5.018434,5.240269,5.475519,5.888058,6.3762,6.897306,7.395936,7.708329,8.024169
4,5.561377,5.797135,6.046988,6.484777,7.0023,7.554286,8.082087,8.412602,8.746662
5,5.996672,6.244465,6.507016,6.966941,7.5105,8.090161,8.644384,8.991445,9.342238
6,6.352967,6.611702,6.885864,7.366195,7.934,8.539707,9.119041,9.481939,9.848832
7,6.653301,6.922131,7.207057,7.706413,8.297,8.927371,9.530656,9.908738,10.29113
8,6.913126,7.19127,7.486158,8.003205,8.6151,9.268678,9.894622,10.28713,10.68428
9,7.144822,7.431644,7.735837,8.26946,8.9014,9.5769,10.22433,10.63055,11.04177
10,7.356558,7.651572,7.964565,8.5139,9.1649,9.861313,10.5293,10.94868,11.37341
11,7.55441,7.857229,8.178615,8.742959,9.4122,10.12867,10.81641,11.24845,11.6862
12,7.742219,8.052577,8.382077,8.960956,9.6479,10.38387,11.09087,11.53526,11.98574

