Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,45.4223,46.0838,46.7606,47.8913,49.1477,50.4041,51.5348,52.2116,52.8731
1,49.7788,50.4728,51.1828,52.3691,53.6872,55.0053,56.1916,56.9016,57.5956
2,52.9950,53.7181,54.4579,55.6939,57.0673,58.4407,59.6768,60.4165,61.1396
3,55.5928,56.3404,57.1052,58.3831,59.8029,61.2227,62.5007,63.2654,64.0130
4,57.7610,58.5297,59.3160,60.6300,62.0899,63.5498,64.8638,65.6501,66.4188
5,59.5954,60.3829,61.1884,62.5345,64.0301,65.5257,66.8718,67.6773,68.4648
6,61.1983,62.0032,62.8266,64.2024,65.7311,67.2598,68.6356,69.4590,70.2639
7,62.6566,63.4789,64.3201,65.7256,67.2873,68.8490,70.2546,71.0957,71.9180
8,64.0198,64.8597,65.7189,67.1546,68.7498,70.3450,71.7807,72.6399,73.4798
9,65.3120,66.1700,67.0476,68.5141,70.1435,71.7729,73.2394,74.1170,74.9750
10,66.5467,67.4230,68.3195,69.8175,71.4818,73.1461,74.6441,75.5406,76.4169
11,67.7294,68.6247,69.5405,71.0708,72.7710,74.4713,76.0015,76.9173,77.8126
12,68.8650,69.7795,70.7150,72.2782,74.0150,75.7518,77.3150,78.2505,79.1650
