Month,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,2.3947,2.5321,2.6777,2.9323,3.2322,3.5504,3.8527,4.0410,4.2304
1,3.1611,3.3262,3.5025,3.8143,4.1873,4.5901,4.9795,5.2254,5.4755
2,3.9411,4.1317,4.3354,4.6959,5.1282,5.5961,6.0499,6.3371,6.6297
3,4.5360,4.7459,4.9703,5.3680,5.8458,6.3642,6.8683,7.1881,7.5145
4,5.0134,5.2389,5.4801,5.9083,6.4237,6.9843,7.5308,7.8782,8.2333
5,5.4038,5.6423,5.8975,6.3513,6.8985,7.4950,8.0779,8.4492,8.8294
6,5.7294,5.9789,6.2462,6.7221,7.2970,7.9251,8.5403,8.9329,9.3355
7,6.0084,6.2678,6.5461,7.0420,7.6422,8.2994,8.9444,9.3569,9.7804
8,6.2534,6.5221,6.8104,7.3249,7.9487,8.6331,9.3064,9.7376,10.1811
9,6.4729,6.7500,7.0477,7.5795,8.2254,8.9354,9.6353,10.0843,10.5466
10,6.6738,6.9589,7.2653,7.8134,8.4800,9.2141,9.9391,10.4049,10.8851
11,6.8623,7.1548,7.4696,8.0330,8.7192,9.4761,10.2250,10.7067,11.2039
12,7.0426,7.3424,7.6650,8.2431,8.9481,9.7268,10.4984,10.9953,11.5087

